Entity ID,Entity Contentful Link,Entity Name,Content Type,Field,Parent Page Entity ID,Parent Page Type,Parent Page Contentful Link,Parent Page Name,Parent page slug,full /en/ link,quadient.com,mail.quadient.com,match flag,final redirect path,fallback redirect
7dUH72SeiEV0lp78CH4nYd,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/7dUH72SeiEV0lp78CH4nYd,Review banking customers' moments of truth & create better experiences  (en-US),ctaItem,fallbackUrl,1mbmTUYEMrg84D2blz7ZWr,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/1mbmTUYEMrg84D2blz7ZWr,“Complex processes”: The next digital hurdle for financial services,learn/customer-communications/complex-process-digital-hurdle-financial,/en/resources/moments-matter-banking,,,,,
4f256i0I3NYQPPIvGVBM3,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/4f256i0I3NYQPPIvGVBM3,“Complex processes”: The next digital hurdle for financial services - Content,richTextBlock,content,1mbmTUYEMrg84D2blz7ZWr,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/1mbmTUYEMrg84D2blz7ZWr,“Complex processes”: The next digital hurdle for financial services,learn/customer-communications/complex-process-digital-hurdle-financial,/en/blog/has-your-organization-embraced-digitization,,,,,
4f256i0I3NYQPPIvGVBM3,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/4f256i0I3NYQPPIvGVBM3,“Complex processes”: The next digital hurdle for financial services - Content,richTextBlock,content,1mbmTUYEMrg84D2blz7ZWr,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/1mbmTUYEMrg84D2blz7ZWr,“Complex processes”: The next digital hurdle for financial services,learn/customer-communications/complex-process-digital-hurdle-financial,/en/blog/state-cx-series-customer-experience-trends-and-beyond-ex-drives-cx,,,,,
2JGb7mtlPEV2nqgy3t98W8,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/2JGb7mtlPEV2nqgy3t98W8,“It was just boxes and boxes” – How Minikahda Club beat paperwork with Quadient AP,richTextBlock,content,5jo2lDgJnlcAfvni2zRVMm,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/5jo2lDgJnlcAfvni2zRVMm,“It was just boxes and boxes” – How Minikahda Club beat paperwork with Quadient AP,en-GB=blog/minikahda-club-beat-paperwork-beanworks; en-US=blog/it-was-just-boxes-and-boxes,/en/ap-automation/product/payments,,,,,
4TNm60o5gf3hSVEye24GvX,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/4TNm60o5gf3hSVEye24GvX,“Reconciling expenses now takes 30 seconds” – Athabasca Catering’s expenses transformation,richTextBlock,content,3j07ScDyBmRj9V2gFk0bvW,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/3j07ScDyBmRj9V2gFk0bvW,“Reconciling expenses now takes 30 seconds” – Athabasca Catering’s expenses transformation,en-GB=blog/“reconciling-expenses-now-takes-30-seconds”-–-athabasca-catering’s-expenses-transformation; en-US=blog/athabasca-caterings-expenses-transformation,/en/ap-automation/demo-request/,,,,,
4TNm60o5gf3hSVEye24GvX,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/4TNm60o5gf3hSVEye24GvX,“Reconciling expenses now takes 30 seconds” – Athabasca Catering’s expenses transformation,richTextBlock,content,3j07ScDyBmRj9V2gFk0bvW,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/3j07ScDyBmRj9V2gFk0bvW,“Reconciling expenses now takes 30 seconds” – Athabasca Catering’s expenses transformation,en-GB=blog/“reconciling-expenses-now-takes-30-seconds”-–-athabasca-catering’s-expenses-transformation; en-US=blog/athabasca-caterings-expenses-transformation,/en/ap-automation/product/expenses/,,,,,
4TNm60o5gf3hSVEye24GvX,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/4TNm60o5gf3hSVEye24GvX,“Reconciling expenses now takes 30 seconds” – Athabasca Catering’s expenses transformation,richTextBlock,content,3j07ScDyBmRj9V2gFk0bvW,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/3j07ScDyBmRj9V2gFk0bvW,“Reconciling expenses now takes 30 seconds” – Athabasca Catering’s expenses transformation,en-GB=blog/“reconciling-expenses-now-takes-30-seconds”-–-athabasca-catering’s-expenses-transformation; en-US=blog/athabasca-caterings-expenses-transformation,/en/ap-automation/product/invoices/,,,,,
4TNm60o5gf3hSVEye24GvX,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/4TNm60o5gf3hSVEye24GvX,“Reconciling expenses now takes 30 seconds” – Athabasca Catering’s expenses transformation,richTextBlock,content,3j07ScDyBmRj9V2gFk0bvW,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/3j07ScDyBmRj9V2gFk0bvW,“Reconciling expenses now takes 30 seconds” – Athabasca Catering’s expenses transformation,en-GB=blog/“reconciling-expenses-now-takes-30-seconds”-–-athabasca-catering’s-expenses-transformation; en-US=blog/athabasca-caterings-expenses-transformation,/en/ap-automation/product/purchase-orders/,,,,,
5veio5Vasc4dCTU3r0JRn1,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/5veio5Vasc4dCTU3r0JRn1,10 Documents Property Managers Should Automate Today,richTextBlock,content,16BEDc4p9wK113xGCci4dQ,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/16BEDc4p9wK113xGCci4dQ,10 Documents Property Managers Should Automate Today,de-DE=blog/10-dokumente-die-immobilienverwalter-heute-automatisieren-sollten; en-US=blog/10-documents-property-managers-should-automate-today; fr-FR=blog/8-documents-a-automatiser-pour-les-agents-immobiliers,/en/resources/implement-digital-delivery-channel-quadient-impress-portal,,,,,
7jxbs60f3ji2zS6xYmLHXl,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/7jxbs60f3ji2zS6xYmLHXl,10 tips for improved credit management  - Content,richTextBlock,content,2xHpxwa6rIsCSfijaQUz3F,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/2xHpxwa6rIsCSfijaQUz3F,10 tips for improved credit management,learn/accounts-receivable/10-tips-for-improved-credit-management,/en/resources/finance-leaders-guide-mastering-accounts-receivable,,,,,
