Entity ID,Entity Contentful Link,Entity Name,Content Type,Field,Parent Page Entity ID,Parent Page Type,Parent Page Contentful Link,Parent Page Name,Parent page slug,full /en/ link,Link context summary,Replacement link,Replacement reasoning
7dUH72SeiEV0lp78CH4nYd,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/7dUH72SeiEV0lp78CH4nYd,Review banking customers' moments of truth & create better experiences  (en-US),ctaItem,fallbackUrl,1mbmTUYEMrg84D2blz7ZWr,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/1mbmTUYEMrg84D2blz7ZWr,â€œComplex processesâ€: The next digital hurdle for financial services,learn/customer-communications/complex-process-digital-hurdle-financial,/en/resources/moments-matter-banking,"Referenced from ""â€œComplex processesâ€: The next digital hurdle for financial services"" (resourcePage) at slug ""learn/customer-communications/complex-process-digital-hurdle-financial"" via ctaItem / fallbackUrl on ""Review banking customers' moments of truth & create better experiences (en-US)"" targeting ""Moments that Matter in Banking"".",https://prd.quadient.mmt.digital/en-us/ebooks-papers/moments-matter-critical-touchpoints-make-or-break-customer-experience,"Original target is ""Moments that Matter in Banking"". ""Moments that Matter: Critical Touchpoints that Make or Break the Customer Experience"" is the closest new-site match. Shared topic terms include moments, moment, that, matter. It stays within the customer communications area. Signals: strong title/topic token overlap; matches customer communications topic."
4f256i0I3NYQPPIvGVBM3,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/4f256i0I3NYQPPIvGVBM3,â€œComplex processesâ€: The next digital hurdle for financial services - Content,richTextBlock,content,1mbmTUYEMrg84D2blz7ZWr,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/1mbmTUYEMrg84D2blz7ZWr,â€œComplex processesâ€: The next digital hurdle for financial services,learn/customer-communications/complex-process-digital-hurdle-financial,/en/blog/has-your-organization-embraced-digitization,"Referenced from ""â€œComplex processesâ€: The next digital hurdle for financial services"" (resourcePage) at slug ""learn/customer-communications/complex-process-digital-hurdle-financial"" via richTextBlock / content on ""â€œComplex processesâ€: The next digital hurdle for financial services - Content"" targeting ""Has Your Organization Embraced Digitization?"".",https://prd.quadient.mmt.digital/en-us/blog/building-future-ready-human-services-organization-modern-communication-solutions,"Original target is ""Has Your Organization Embraced Digitization?"". ""Building a Future-Ready Human Services Organization with Modern Communication Solutions"" is the closest new-site match. Shared topic terms include organization, blog. It stays within the customer communications area. It also matches the blog intent. Signals: strong URL token overlap; keeps blog/article destination type; matches customer communications topic."
4f256i0I3NYQPPIvGVBM3,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/4f256i0I3NYQPPIvGVBM3,â€œComplex processesâ€: The next digital hurdle for financial services - Content,richTextBlock,content,1mbmTUYEMrg84D2blz7ZWr,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/1mbmTUYEMrg84D2blz7ZWr,â€œComplex processesâ€: The next digital hurdle for financial services,learn/customer-communications/complex-process-digital-hurdle-financial,/en/blog/state-cx-series-customer-experience-trends-and-beyond-ex-drives-cx,"Referenced from ""â€œComplex processesâ€: The next digital hurdle for financial services"" (resourcePage) at slug ""learn/customer-communications/complex-process-digital-hurdle-financial"" via richTextBlock / content on ""â€œComplex processesâ€: The next digital hurdle for financial services - Content"" targeting ""The State of CX: EX drives CX"".",https://prd.quadient.mmt.digital/en-us/blog/quadients-intelligent-communication-automation-solution-doubles-down-our-mission-drive-worlds-best-customer-communications,"Original target is ""The State of CX: EX drives CX"". ""Quadient's Intelligent Communication Automation solution doubles down on our mission to drive the world's best customer communications"" is the closest new-site match. Shared topic terms include drives, driv, drive, blog, customer. It stays within the customer communications area. It also matches the blog intent. Signals: keeps blog/article destination type; matches customer communications topic."
2JGb7mtlPEV2nqgy3t98W8,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/2JGb7mtlPEV2nqgy3t98W8,â€œIt was just boxes and boxesâ€ â€“ How Minikahda Club beat paperwork with Quadient AP,richTextBlock,content,5jo2lDgJnlcAfvni2zRVMm,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/5jo2lDgJnlcAfvni2zRVMm,â€œIt was just boxes and boxesâ€ â€“ How Minikahda Club beat paperwork with Quadient AP,en-GB=blog/minikahda-club-beat-paperwork-beanworks; en-US=blog/it-was-just-boxes-and-boxes,/en/ap-automation/product/payments,"Referenced from ""â€œIt was just boxes and boxesâ€ â€“ How Minikahda Club beat paperwork with Quadient AP"" (resourcePage) at slug ""en-GB=blog/minikahda-club-beat-paperwork-beanworks; en-US=blog/it-was-just-boxes-and-boxes"" via richTextBlock / content targeting ""Vendor Payment Automation & AP Software"".",https://prd.quadient.mmt.digital/en-us/blog/empower-ap-real-time-vendor-payment-updates,"Original target is ""Vendor Payment Automation & AP Software"". ""Elevate your vendor payment workflows with automated AP"" is the closest new-site match. Shared topic terms include vendor, payment, automation, accounts, payable. It stays within the accounts payable area. It also matches the ebook paper intent. Signals: strong title/topic token overlap; matches accounts payable topic."
4TNm60o5gf3hSVEye24GvX,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/4TNm60o5gf3hSVEye24GvX,â€œReconciling expenses now takes 30 secondsâ€ â€“ Athabasca Cateringâ€™s expenses transformation,richTextBlock,content,3j07ScDyBmRj9V2gFk0bvW,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/3j07ScDyBmRj9V2gFk0bvW,â€œReconciling expenses now takes 30 secondsâ€ â€“ Athabasca Cateringâ€™s expenses transformation,en-GB=blog/â€œreconciling-expenses-now-takes-30-secondsâ€-â€“-athabasca-cateringâ€™s-expenses-transformation; en-US=blog/athabasca-caterings-expenses-transformation,/en/ap-automation/demo-request/,"Referenced from ""â€œReconciling expenses now takes 30 secondsâ€ â€“ Athabasca Cateringâ€™s expenses transformation"" (resourcePage) at slug ""en-GB=blog/â€œreconciling-expenses-now-takes-30-secondsâ€-â€“-athabasca-cateringâ€™s-expenses-transformation; en-US=blog/athabasca-caterings-expenses-transformation"" via richTextBlock / content targeting ""Quadient AP Request a Demo"".",https://prd.quadient.mmt.digital/en-us/webinars-events/free-monthly-accounts-payable-demo-nar,"Original target is ""Quadient AP Request a Demo"". ""Ready to AP Automate?"" is the closest new-site match. Shared topic terms include accounts, payable, demo, automation. It stays within the accounts payable area. Signals: strong title/topic token overlap; matches accounts payable topic."
4TNm60o5gf3hSVEye24GvX,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/4TNm60o5gf3hSVEye24GvX,â€œReconciling expenses now takes 30 secondsâ€ â€“ Athabasca Cateringâ€™s expenses transformation,richTextBlock,content,3j07ScDyBmRj9V2gFk0bvW,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/3j07ScDyBmRj9V2gFk0bvW,â€œReconciling expenses now takes 30 secondsâ€ â€“ Athabasca Cateringâ€™s expenses transformation,en-GB=blog/â€œreconciling-expenses-now-takes-30-secondsâ€-â€“-athabasca-cateringâ€™s-expenses-transformation; en-US=blog/athabasca-caterings-expenses-transformation,/en/ap-automation/product/expenses/,"Referenced from ""â€œReconciling expenses now takes 30 secondsâ€ â€“ Athabasca Cateringâ€™s expenses transformation"" (resourcePage) at slug ""en-GB=blog/â€œreconciling-expenses-now-takes-30-secondsâ€-â€“-athabasca-cateringâ€™s-expenses-transformation; en-US=blog/athabasca-caterings-expenses-transformation"" via richTextBlock / content targeting ""Automated Expense Management Software"".",https://prd.quadient.mmt.digital/en-us/blog/expense-management-software-what-it-and-why-does-it-matter,"Original target is ""Automated Expense Management Software"". ""Expense Management Software: What Is It and Why Does It Matter?"" is the closest new-site match. Shared topic terms include expense, management, software, accounts, payable. It stays within the accounts payable area. Signals: strong title/topic token overlap; matches accounts payable topic."
4TNm60o5gf3hSVEye24GvX,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/4TNm60o5gf3hSVEye24GvX,â€œReconciling expenses now takes 30 secondsâ€ â€“ Athabasca Cateringâ€™s expenses transformation,richTextBlock,content,3j07ScDyBmRj9V2gFk0bvW,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/3j07ScDyBmRj9V2gFk0bvW,â€œReconciling expenses now takes 30 secondsâ€ â€“ Athabasca Cateringâ€™s expenses transformation,en-GB=blog/â€œreconciling-expenses-now-takes-30-secondsâ€-â€“-athabasca-cateringâ€™s-expenses-transformation; en-US=blog/athabasca-caterings-expenses-transformation,/en/ap-automation/product/invoices/,"Referenced from ""â€œReconciling expenses now takes 30 secondsâ€ â€“ Athabasca Cateringâ€™s expenses transformation"" (resourcePage) at slug ""en-GB=blog/â€œreconciling-expenses-now-takes-30-secondsâ€-â€“-athabasca-cateringâ€™s-expenses-transformation; en-US=blog/athabasca-caterings-expenses-transformation"" via richTextBlock / content targeting ""Accounts Payable Automation Software"".",https://prd.quadient.mmt.digital/en-us/blog/what-look-ap-automation-software,"Original target is ""Accounts Payable Automation Software"". ""A Buyer’s Guide: How to Choose Your Accounts Payable Automation Software"" is the closest new-site match. Shared topic terms include accounts, account, payable, automation, software. It stays within the accounts payable area. Signals: old title contained in new title; strong title/topic token overlap; matches accounts payable topic."
4TNm60o5gf3hSVEye24GvX,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/4TNm60o5gf3hSVEye24GvX,â€œReconciling expenses now takes 30 secondsâ€ â€“ Athabasca Cateringâ€™s expenses transformation,richTextBlock,content,3j07ScDyBmRj9V2gFk0bvW,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/3j07ScDyBmRj9V2gFk0bvW,â€œReconciling expenses now takes 30 secondsâ€ â€“ Athabasca Cateringâ€™s expenses transformation,en-GB=blog/â€œreconciling-expenses-now-takes-30-secondsâ€-â€“-athabasca-cateringâ€™s-expenses-transformation; en-US=blog/athabasca-caterings-expenses-transformation,/en/ap-automation/product/purchase-orders/,"Referenced from ""â€œReconciling expenses now takes 30 secondsâ€ â€“ Athabasca Cateringâ€™s expenses transformation"" (resourcePage) at slug ""en-GB=blog/â€œreconciling-expenses-now-takes-30-secondsâ€-â€“-athabasca-cateringâ€™s-expenses-transformation; en-US=blog/athabasca-caterings-expenses-transformation"" via richTextBlock / content targeting ""Purchase Order Automation & PO Matching Software"".",https://prd.quadient.mmt.digital/en-us/learn/accounts-payable/purchase-order-automation,"Original target is ""Purchase Order Automation & PO Matching Software"". ""The transformative impact of purchase order automation"" is the closest new-site match. Shared topic terms include purchase, order, automation, software, accounts. It stays within the accounts payable area. Signals: strong title/topic token overlap; matches accounts payable topic."
5veio5Vasc4dCTU3r0JRn1,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/5veio5Vasc4dCTU3r0JRn1,10 Documents Property Managers Should Automate Today,richTextBlock,content,16BEDc4p9wK113xGCci4dQ,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/16BEDc4p9wK113xGCci4dQ,10 Documents Property Managers Should Automate Today,de-DE=blog/10-dokumente-die-immobilienverwalter-heute-automatisieren-sollten; en-US=blog/10-documents-property-managers-should-automate-today; fr-FR=blog/8-documents-a-automatiser-pour-les-agents-immobiliers,/en/resources/implement-digital-delivery-channel-quadient-impress-portal,"Referenced from ""10 Documents Property Managers Should Automate Today"" (resourcePage) at slug ""de-DE=blog/10-dokumente-die-immobilienverwalter-heute-automatisieren-sollten; en-US=blog/10-documents-property-managers-should-automate-today; fr-FR=blog/8-documents-a-automatiser-pour-les-agents-immobiliers"" via richTextBlock / content targeting ""Implement a Digital Delivery Channel with Quadient Impress Portal"".",https://prd.quadient.mmt.digital/en-us/ebooks-papers/video-quadient-impress-portal,"Original target is ""Implement a Digital Delivery Channel with Quadient Impress Portal"". ""Video: Quadient Impress Portal"" is the closest new-site match. Shared topic terms include digital, delivery, impress, impres, portal. It also matches the brochure intent. Signals: strong title/topic token overlap; matches downloadable resource type."
7jxbs60f3ji2zS6xYmLHXl,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/7jxbs60f3ji2zS6xYmLHXl,10 tips for improved credit management  - Content,richTextBlock,content,2xHpxwa6rIsCSfijaQUz3F,resourcePage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/2xHpxwa6rIsCSfijaQUz3F,10 tips for improved credit management,learn/accounts-receivable/10-tips-for-improved-credit-management,/en/resources/finance-leaders-guide-mastering-accounts-receivable,"Referenced from ""10 tips for improved credit management"" (resourcePage) at slug ""learn/accounts-receivable/10-tips-for-improved-credit-management"" via richTextBlock / content on ""10 tips for improved credit management - Content"" targeting ""The Finance Leader's Guide to Mastering Accounts Receivable"".",https://prd.quadient.mmt.digital/en-us/ebooks-papers/finance-leaders-guide-automating-ap-and-ar,"Original target is ""The Finance Leader's Guide to Mastering Accounts Receivable"". ""Finance Leader's Guide to Automating AP and AR"" is the closest new-site match. Shared topic terms include finance, leaders, leader, accounts, account. It stays within the accounts receivable area. It also matches the ebook paper intent. Signals: strong title/topic token overlap; matches downloadable resource type; matches accounts receivable topic."
