Form URL,Solution,Completed,form-reference Form ID,form-reference Form Type,form-reference Product,form-reference Journey Stage,NIMBUS Slug Update,Campaign Name,[BW] Lead Source,[BW]CampaignID,[BW]MemberStatus,[CXM]CampaignID,[CXM]MemberStatus,[GLOBAL]AssignmentLeadChannelUK,[GLOBAL]CampaignID,[GLOBAL]MemberStatus,[MONET] Product Interest - IDA,[MONET]CampaignID,[MONET]MemberStatus,[US] Other Lead Source,[US] Product Interest - Mail,[US]CampaignID,US]Form Name - US Routing,[US]MemberStatus,contentful-entryId,contentful-internalName
https://mail.quadient.com/en/letters-vs-emails-consumer-research-report,MRS,,474,Eloqua,,Awareness,/en-us/ebooks-papers/letters-vs-emails-consumer-research-report,,,,,,,,701Pq00000Tlk58IAB,RP-MRS-Download,,,,,,701Vw00000ETDWTIA5,,RP-MRS-Download,,
https://mail.quadient.com/en/resources/comprehensive-guide-how-find-right-folder-inserter,MRS,yes,474,Eloqua,Folder Inserters,Comparison,/en-us/ebooks-papers/comprehensive-guide-how-find-right-folder-inserter,,,,,,,,,,,,,,,7014X000002iQMmQAM,MCCF - FY23-Q1-AM-RM-IB-MRS-FOLDER-INSERTER-BUYERS-GUIDE,WP-MRS-DOWNLOAD-MRS-FIBG,6P19TKRFh4xTJU2OX3kJXI,The ultimate folder inserter buyer's guide: Speed up your mailing process and boost productivity
https://mail.quadient.com/en/resources/customer-playbook-digitizing-invoices,IDA,yes,474,Eloqua,,Awareness,/en-us/ebooks-papers/customer-playbook-digitizing-invoices,FY25-Q2-GL-CORP-IB-IDA-customer playbook digitizing invoices,,,,,,Download,701Pq00000YBZRuIAP,EB-IDA-digitizing invoices playbook,,701SZ00000Zq72s,EB-IDA-digitizing invoices playbook,WEB,,701Vw00000I0NDZIA3,MCCF- FY25-Q2-GL-CORP-IB-IDA-customer playbook digitizing invoices,EB-IDA-digitizing invoices playbook,4CfiL1A07b9moqCnnMaS4V,The customer playbook for digitizing invoices
https://mail.quadient.com/en/resources/future-mail-top-5-predictions-industry-experts,MRS,yes,474,Eloqua,,Awareness,/en-us/ebooks-papers/future-mail-top-5-predictions-industry-experts,,,,,,,Download,7014X000002e3FmQAI,EB-MRS-Top5predictions,Folding Inserting Machine,70167000000GxgnAAC,EB-MRS-Top5predictions,,Folding Inserting Machine,7010y000001UHu8AAG,MCCF - FY20-Q3-GL-CEC-IB-MRS-Top5predictions,EB-MRS-Top5predictions,2HE1fLOx08rnaZFU4kdPAd,The Future of Mail: Top 5 Predictions from Industry Experts
https://mail.quadient.com/en/resources/guide-automating-invoices-finance-teams,MRS,,474,Eloqua,,Awareness,/en-us/ebooks-papers/guide-automating-invoices-finance-teams,,,,,,,,701Pq00000YBZRuIAP,GD-MRS-automate-invoice-processes,,701SZ00000Zq72sYAB,GD-MRS-automate-invoice-processes,,,701Vw00000I0NDZIA3,MCCF - FY25-Q2-GL-CORP-IB-IDA-Web-Content-Assets,GD-MRS-automate-invoice-processes,7asvJzMwQp1TtCGSGdZz01,The guide to automating invoices for finance teams
https://mail.quadient.com/en/resources/preventive-care-for-your-healthcare-operation,MRS,,474,Eloqua,,Awareness,/en-us/ebooks-papers/preventive-care-for-your-healthcare-operation,FY25-Q3-AM-DG-IB-MRS-CRS-IDA-Mail-Corporate-Website-Impress-Pages,,,,,,,,,,,,,Mail,701Vw00000L5ycAIAR,MCCF - FY25-Q3-AM-DG-IB-MRS-CRS-IDA-Mail-Corporate-Website-Impress-Pages,WP-MRS-HC-PB1-Whitepaper,7wYShodHgAqCkzfAS3x0LW,Preventative Care for Your Healthcare Operation - White Paper
https://mail.quadient.com/en/resources/print-shop-high-margin-mail-guide,MRS,,474,Eloqua,,Awareness,/en-us/ebooks-papers/print-shop-high-margin-mail-guide,FY24-Q3-AM-DG-IB-MRS-ACQ-WebSite-D438-PSP,,,,,,,,,,,,,Mail,7014X000002rwBrQAI,MCCF - FY24-Q3-AM-DG-IB-MRS-ACQ-WebSite-D438-PSP,EB-MRS-PSP-PB3-eBook,6yipKvFMbdljZsar2RbPIM,The Print Shop Guide to High Margin Mail Work - eBook
https://mail.quadient.com/en/resources/printing-future-print-service-providers-psps-build-stronger-customer-connections,MRS,,474,Eloqua,,Awareness,/en-us/ebooks-papers/printing-future-print-service-providers-psps-build-stronger-customer-connections,,,,,,,,,,,,,,,,,,1VsOfwcVLEBL0q2KbhPM4v,Printing the Future: Print Service Providers (PSPs) build stronger customer connections
https://mail.quadient.com/en/resources/quick-reference-guide-to-usps-intelligent-mail-indicia,MRS,,474,Eloqua,,Awareness,/en-us/ebooks-papers/quick-reference-guide-to-usps-intelligent-mail-indicia,,,,,,,,,,,,,,,7014X000002lwCLQAY,WS - Neopost Quick Quote Form Handler,EB-MRS-IMI_Compliance,5djdi7zPbSDQ91pHhEZwhE,Quick Reference Guide: Everything you need to know about USPS® Intelligent Mail Indicia (IMI) compliance
https://mail.quadient.com/en/resources/ultimate-postage-meter-buyers-guide,MRS,,474,Eloqua,Postage Meters,Comparison,/en-us/ebooks-papers/ultimate-postage-meter-buyers-guide,,WEB,0,GD-Download-MRS-LO-PMBG,0,,0,0,GD-MRS-Download-MRS-LO-PMBG,Postage Meters & Mailing Systems,0,GD-MRS-Download-MRS-LO-PMBG,,Postage Meters & Mailing Systems,7014X000002m33aQAA,MCCF - GWN - Buyers Guide WP,GD-MRS-Download-MRS-LO-PMBG,7wahh4CHqDrBVtrUYMq6P4,The ultimate postage meter buyer's guide
