entryId,entityType,contentfulUrl,slug,Test Form?,formEntityNames,BW Campaign ID,Campaign Member Status,Campaign Name,CXM Campaign ID,Form Name,Form Type,Global Campaign ID,Journey Stage,Lead Source,Lead Source Other,MONET Campaign ID,Product Interest,Solution,US Campaign ID
cp--bcc-suite,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/cp--bcc-suite,bcc-suite,N,C1 - MRS - Hand Raiser Form,,,,,WS - Neopost Quick Quote Form Handler,,,,WEB,,,,Mailing and Shipping,
79EIXdMwKSvUEeKmMev2bb,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/79EIXdMwKSvUEeKmMev2bb,da-DK=2026-fedex-rates; en-US=postage-rates/fedex; hi-IN=2026-fedex-rates; no-NO=2026-fedex-rates; sv-SE=2026-fedex-rates,N,C1 - MRS - Hand Raiser Form,,,,,WS - Neopost Quick Quote Form Handler,,,,WEB,,,Postage Rates,Mailing and Shipping,
PrEbKehez03nx5cp3erNq,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/PrEbKehez03nx5cp3erNq,da-DK=2026-ups-rates; en-CA=postage-rates/ups; en-US=postage-rates/ups; fr-CA=tarifs-postaux/ups; hi-IN=2026-ups-rates; no-NO=2026-ups-rates; sv-SE=2026-ups-rates,N,C1 - MRS - Hand Raiser Form,,,,,WS - Neopost Quick Quote Form Handler,,,,WEB,,,Postage Rates,Mailing and Shipping,
5IypL9six6xRR4BnsIklKx,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/5IypL9six6xRR4BnsIklKx,da-DK=2026-usps-rates; en-US=postage-rates/usps; hi-IN=2026-usps-rates; no-NO=2026-usps-rates; sv-SE=2026-usps-rates,N,C1 - MRS - Hand Raiser Form,,,,,WS - Neopost Quick Quote Form Handler,,,,WEB,,,Postage Rates,Mailing and Shipping,
cp--as-150-inkjet-envelope-printer,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/cp--as-150-inkjet-envelope-printer,da-DK=as-150; en-CA=digital-printers/as-150; en-US=digital-printers/as-150; fr-CA=imprimantes-numeriques/as-150; hi-IN=as-150; no-NO=as-150; sv-SE=as-150,N,C1 - MRS - Hand Raiser Form,,,,,WS - Neopost Quick Quote Form Handler,,,,WEB,,,AS-150,Mailing and Shipping,
cp--as-450-monochrome-address-printer,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/cp--as-450-monochrome-address-printer,da-DK=as-450; en-CA=digital-printers/as-450; en-US=digital-printers/as-450; fr-CA=imprimantes-numeriques/as-450; hi-IN=as-450; no-NO=as-450; sv-SE=as-450,N,C1 - MRS - Hand Raiser Form,,,,,WS - Neopost Quick Quote Form Handler,,,,WEB,,,AS-450,Mailing and Shipping,
cp--as-650-monochrome-address-printer,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/cp--as-650-monochrome-address-printer,da-DK=as-650; en-CA=digital-printers/as-650; en-US=digital-printers/as-650; fr-CA=imprimantes-numeriques/as-650; hi-IN=as-650; no-NO=as-650; sv-SE=as-650,N,C1 - MRS - Hand Raiser Form,,,,,WS - Neopost Quick Quote Form Handler,,,,WEB,,,AS-650,Mailing and Shipping,
cp--as-850-monochrome-address-printer,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/cp--as-850-monochrome-address-printer,da-DK=as-850; en-CA=digital-printers/as-850; en-US=digital-printers/as-850; fr-CA=imprimantes-numeriques/as-850; hi-IN=as-850; no-NO=as-850; sv-SE=as-850,N,C1 - MRS - Hand Raiser Form,,,,,WS - Neopost Quick Quote Form Handler,,,,WEB,,,AS-850,Mailing and Shipping,
cp--bcc-architect-contact-data-validation-software,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/cp--bcc-architect-contact-data-validation-software,da-DK=bcc-architect-contact-data-validation-software; en-US=mailroom-software-bcc-architect; hi-IN=bcc-architect-contact-data-validation-software; no-NO=bcc-architect-contact-data-validation-software; sv-SE=bcc-architect-contact-data-validation-software,N,C1 - MRS - Hand Raiser Form,,,,,WS - Neopost Quick Quote Form Handler,,,,WEB,,,,Mailing and Shipping,
cp--bcc-bulk-mailer-smb,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/cp--bcc-bulk-mailer-smb,da-DK=bcc-bulk-mailer-smb-mailing-software; en-US=bcc-bulk-mailer; hi-IN=bcc-bulk-mailer-smb-mailing-software; no-NO=bcc-bulk-mailer-smb-mailing-software; sv-SE=bcc-bulk-mailer-smb-mailing-software,N,C1 - MRS - Hand Raiser Form,,,,,WS - Neopost Quick Quote Form Handler,,,,WEB,,,,Mailing and Shipping,
cp--bcc-mail-manager-ci,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/cp--bcc-mail-manager-ci,da-DK=bcc-mail-manager-ci-postal-software; en-US=bcc-mail-manager-ci; hi-IN=bcc-mail-manager-ci-postal-software; no-NO=bcc-mail-manager-ci-postal-software; sv-SE=bcc-mail-manager-ci-postal-software,N,C1 - MRS - Hand Raiser Form,,,,,WS - Neopost Quick Quote Form Handler,,,,WEB,,,,Mailing and Shipping,
Ayj19zoiyMbByOnKKUcni,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/Ayj19zoiyMbByOnKKUcni,da-DK=bulk-mailer-smb; en-US=/mailroom-software/bulkmailer; hi-IN=bulk-mailer-smb; no-NO=bulk-mailer-smb; sv-SE=bulk-mailer-smb,N,Form 473,,,,,,,,,,,,Bulk Mailer,Mailing and Shipping,
cp--contact-us-en-us,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/cp--contact-us-en-us,da-DK=contact-us-landing; en-CA=contact-us; en-US=contact-us; fr-CA=contactez-nous; hi-IN=contact-us-landing; no-NO=contact-us-landing; sv-SE=contact-us-landing,N,A1 - General Contact Form,,,,,,,,,,,,,,
cp--ds-1200-g5iq-folder-inserter,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/cp--ds-1200-g5iq-folder-inserter,da-DK=ds-1200-g5iq-folder-inserter; en-CA=folder-inserters/ds-1200g5iq; en-US=folder-inserters/ds-1200g5iq; fr-CA=plieuses-insereuses/ds-1200G5iq; hi-IN=ds-1200-g5iq-folder-inserter; no-NO=ds-1200-g5iq-folder-inserter; sv-SE=ds-1200-g5iq-folder-inserter,N,C1 - MRS - Hand Raiser Form,,,,,WS - Neopost Quick Quote Form Handler,,,,WEB,,,DS-1200 G5iq Folder Inserter,Mailing and Shipping,
cp--ds-180i-folder-inserter,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/cp--ds-180i-folder-inserter,da-DK=ds-180i-folder-inserter; en-CA=folder-inserters/ds-180i; en-US=folder-inserters/ds-180i; fr-CA=plieuses-insereuses/ds-180i; hi-IN=ds-180i-folder-inserter; no-NO=ds-180i-folder-inserter; sv-SE=ds-180i-folder-inserter,N,C1 - MRS - Hand Raiser Form,,,,,WS - Neopost Quick Quote Form Handler,,,,WEB,,,DS-180i Folder Inserter,Mailing and Shipping,
cp--ds-77iq-folder-inserter,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/cp--ds-77iq-folder-inserter,da-DK=ds-77-iq-folder-inserter; en-CA=folder-inserters/ds-77iq; en-US=folder-inserters/ds-77iq; fr-CA=plieuses-insereuses/ds-77iq; hi-IN=ds-77-iq-folder-inserter; no-NO=ds-77-iq-folder-inserter; sv-SE=ds-77-iq-folder-inserter,N,C1 - MRS - Hand Raiser Form,,,,,WS - Neopost Quick Quote Form Handler,,,,WEB,,,,Mailing and Shipping,
cp--ds-85i-folder-inserter,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/cp--ds-85i-folder-inserter,da-DK=ds-85i-folder-inserter; en-CA=folder-inserters/ds-85i; en-US=folder-inserters/ds-85i; fr-CA=plieuses-insereuses/ds-85i; hi-IN=ds-85i-folder-inserter; no-NO=ds-85i-folder-inserter; sv-SE=ds-85i-folder-inserter,N,C1 - MRS - Hand Raiser Form,,,,,WS - Neopost Quick Quote Form Handler,,,,WEB,,,,Mailing and Shipping,
cp--ds-95i-folder-inserter,contentPage,https://app.contentful.com/spaces/yymku90gll7g/environments/master/entries/cp--ds-95i-folder-inserter,da-DK=ds-95i-folder-inserter; en-CA=folder-inserters/ds-95i; en-US=folder-inserters/ds-95i; fr-CA=plieuses-insereuses/ds-95i; hi-IN=ds-95i-folder-inserter; no-NO=ds-95i-folder-inserter; sv-SE=ds-95i-folder-inserter,N,C1 - MRS - Hand Raiser Form,,,,,WS - Neopost Quick Quote Form Handler,,,,WEB,,,,Mailing and Shipping,
